"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"35 Jahre";85973;84371;86671;88167;89885;92242;95876;98016;100039;99966;103086;102063;102569;99655;99533;95609;97794;97388;99300;102150;106029;109373;110624;114189;117178;118841;121858;124808;126852;124788;123242;120719;119484;116856;113553;112083;108633;106448;107345;106250;106297;108326;109780;112799;117803;118954;121138;120008
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"36 Jahre";85565;85581;84050;86125;88030;87989;90648;95039;97623;99887;100051;103269;102300;102471;99777;99818;96085;98382;98156;100305;103532;107366;110150;111367;114687;117592;118831;121706;124983;127363;125391;124258;121932;120574;117843;114268;113058;110389;108682;109019;106318;107982;110002;111703;114646;119484;120459;122467
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"37 Jahre";84411;85175;85260;83575;86002;86464;86337;89837;94660;97451;100006;100181;103292;102268;102575;99975;100229;96568;99149;98871;101740;104654;108017;110669;111749;114826;117580;118650;121639;125260;127985;126269;125633;122619;121398;118609;115089;114828;112539;110044;109432;107898;109624;111964;113408;116085;120823;121530
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"38 Jahre";82286;84048;84881;84819;83461;84343;84894;85363;89374;94485;97391;100087;100335;103173;102286;102702;100261;100616;97160;99815;99872;102726;105124;108520;110915;111893;114678;117241;118474;121911;125832;128802;127278;126426;123412;122042;119362;116704;116881;113949;110393;110965;109325;111412;113520;114823;117375;121803
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"39 Jahre";81677;82019;83747;84469;84673;82190;82894;83984;84925;89188;94486;97498;100147;100326;103137;102253;102903;100553;101107;97591;100774;100651;103113;105484;108642;110893;111723;114318;117013;118686;122183;126261;129753;127862;127013;123881;122599;120888;118681;118086;114281;111639;112234;110841;112829;114775;115893;118156
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"40 Jahre";80109;81334;81815;83442;84312;83432;80935;82096;83539;84690;89055;94523;97541;100043;100305;102967;102369;103083;100945;101512;97957;101510;100856;103368;105532;108572;110565;111420;114105;117133;119091;122600;127173;130323;128434;127438;124463;124043;122644;119845;118495;115406;112901;113651;112317;114043;115789;116771
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"41 Jahre";81404;79819;81008;81670;83290;83217;82232;80170;81756;83322;84600;89066;94577;97420;99994;100257;102985;102410;103362;101290;101950;98401;101649;101151;103445;105503;108211;110001;111172;114077;117020;119418;123281;127625;130725;128854;127942;125687;125778;123647;120508;119642;116465;114358;114969;113461;114962;116577
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"42 Jahre";78283;81073;79539;80793;81574;82192;82136;81520;79834;81563;83176;84542;89043;94363;97231;99838;100172;102973;102632;103544;101339;102350;98523;101700;101100;103414;105025;107865;109739;111133;114458;117049;119911;123718;127947;131091;129245;129205;127311;126811;124323;121658;120731;117821;115627;116060;114328;115510
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"43 Jahre";77687;78026;80748;79387;80610;80597;81220;81425;81092;79659;81490;83123;84545;88913;94142;97085;99764;100254;103195;102676;103431;101588;102326;98521;101546;100950;102922;104685;107666;109599;111328;114501;117636;120158;124015;128342;131506;130233;130632;128175;127707;125215;122677;121986;119165;116596;116773;114913
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"44 Jahre";75733;77349;77780;80528;79179;79649;79592;80544;81019;80771;79516;81458;83051;84303;88705;93905;96939;99711;100342;103155;102741;103613;101479;102239;98379;101401;100627;102509;104417;107503;109988;111332;115010;117887;120460;124046;128627;132610;131532;131536;129092;128544;126236;123891;123116;120122;117430;117289
